Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Volatility
2025-06-17,194.86692810058597,197.6060614779548,194.43863454049264,196.4207613301707,38856200,,
2025-06-18,195.80319213867188,196.78928550519316,194.29916455806156,195.16572178414583,45394700,0.004804632818980137,
2025-06-20,200.2057647705078,200.90299573747225,196.0821242533237,197.45667615855012,96813500,0.022484682623141072,
2025-06-23,200.70376586914065,201.5006076815208,198.1738094532141,200.83325703321927,55814300,0.0024874463490283105,
2025-06-24,199.5084991455078,202.636090538428,199.40888822531903,201.78944331230144,54064000,-0.005955377660487704,
2025-06-25,200.76351928710935,202.8651820841085,199.82723133036671,200.65395335177797,39525700,0.006290559785556926,
2025-06-26,200.2057647705078,201.8392838353224,198.6718566431861,200.63405836503767,50799100,-0.002778166663854331,
2025-06-27,200.2854461669922,202.41698947637084,199.20971189891864,201.09224306842364,73188600,0.00039799751308722264,
2025-06-30,204.3592529296875,206.57048164253425,198.4726031076903,201.211736268348,91912800,0.02034000393268065,
2025-07-01,206.9987945556641,209.35942450018743,205.3254252695324,205.85332972802505,78788900,0.01291618357444646,
2025-07-02,211.6005401611328,212.49697770796604,207.31752868499885,208.08449026524104,67941800,0.022230784557691008,
2025-07-03,212.7061462402344,213.8017903991559,210.97301649264048,211.31166931275297,34955800,0.005224968132215846,
2025-07-07,209.1203765869141,215.37555986284275,207.9749269074613,211.83958469799765,50229000,-0.016857856327623377,
2025-07-08,209.1801300048828,210.59451698338924,207.6262968509882,209.26978591644843,42848900,0.00028573694703482033,
2025-07-09,210.30567932128903,210.49493096772343,206.4011710318064,208.7020406311003,48749400,0.005380765928293174,
2025-07-10,211.57064819335935,212.6364120977978,209.2000480941239,209.678147079363,44443600,0.00601490590341025,
2025-07-11,210.3256072998047,211.29177557167307,209.03074119537857,209.73794232575935,39765800,-0.005884752465364573,
2025-07-14,207.7956085205078,210.07656782568804,206.719874444485,209.10042946873696,38840100,-0.012028962197125792,
2025-07-15,208.28369140625,211.052704873644,208.0944397695192,208.393257343384,42296300,0.0023488604461725515,
2025-07-16,209.3295440673828,211.5606828488181,207.8155461810567,209.4689902412225,47490500,0.005021289252517214,
2025-07-17,209.19009399414065,210.96305897069357,208.761785269157,209.7379236663323,48068100,-0.0006661748290880398,0.010311173315236854
2025-07-18,210.3455047607422,210.95309492429405,208.871357307622,210.0367321724359,48974600,0.005523257552692229,0.010316832010266461
2025-07-21,211.64036560058597,214.92732845073888,210.7937335563828,211.2618775331451,51377400,0.006155875978032466,0.009347503364735305
2025-07-22,213.5527801513672,214.1006098348481,211.39135685335447,212.29776458434165,46404100,0.00903615217897702,0.00944929748763819
2025-07-23,213.30377197265625,214.29982043425815,211.57065737650467,214.15041924441525,46989300,-0.0011660263965397322,0.009265301470606993
2025-07-24,212.91531372070312,214.83769515517372,212.68622683006964,213.05475989741396,46022600,-0.0018211504107996657,0.009309054517198526
2025-07-25,213.0348358154297,214.38946224202752,212.55672164240056,213.85158759699283,40268800,0.00056135978496763,0.009229878625974715
2025-07-28,213.2041931152344,214.00103498726415,212.21809958876685,213.1842678888476,37858000,0.0007949746770590238,0.009224072487470897
2025-07-29,210.43516540527344,213.96117031669576,209.9869466315705,213.33365491441555,51411700,-0.012987679414280251,0.008965857984625064
2025-07-30,208.22393798828125,211.5507362671114,206.89919168476044,211.06266703997412,45512500,-0.010507879767783224,0.008926496481420718
2025-07-31,206.7497711181641,209.0107900151974,206.34138763159265,207.6661338109758,80698400,-0.007079718520164202,0.007421306639490511
2025-08-01,201.58029174804688,212.7360314354296,200.7037642416869,210.03673342752197,104434500,-0.025003555467844718,0.00897410177614564
2025-08-04,202.5464630126953,207.0585613783641,200.88304868853191,203.70186769022783,75109300,0.004792984751981866,0.008460415210610778
2025-08-05,202.1181488037109,204.52858421879685,201.3611574563388,202.59624780213056,44155100,-0.0021146466969287347,0.008449850647650877
2025-08-06,212.40733337402344,214.52892145014,204.77759854868276,204.8174489981037,108483100,0.050906782152972285,0.014452501150281594
2025-08-07,219.16053771972656,219.9773047383464,215.7241736307253,218.0150880895572,90224800,0.03179364967503995,0.016025283902198446
2025-08-08,228.44371032714844,230.08718413442585,218.3836152444713,219.9573735658332,113854000,0.04235786562676558,0.018268211374049662
2025-08-11,226.53909301757807,228.91238364576836,224.12592192869852,227.27701087414155,61806100,-0.008337359373312592,0.018112572520908015
2025-08-12,229.0021209716797,230.14888579943397,226.429412881848,227.36674823663387,55626200,0.010872419065924843,0.018159992962294383
2025-08-13,232.6717529296875,234.3370398551092,229.77992501054072,230.4181341091737,69878500,0.01602444528652036,0.018329528864564664
2025-08-14,232.123291015625,234.4566858681212,230.1987431425788,233.39967872378065,51916300,-0.002357234632724192,0.018363129821718522
2025-08-15,230.9366455078125,233.6190590405621,228.69299310222905,233.33985018068216,56038700,-0.005112134601489071,0.01851191596941445
2025-08-18,230.23863220214844,232.46233685580373,229.46083388892836,231.0463446646661,37476200,-0.003022531587090427,0.018591188792565404
2025-08-19,229.90956115722656,232.2130419457167,228.70298322789472,230.62753117126795,39402600,-0.0014292607707683258,0.01860056220681603
2025-08-20,225.3723907470703,229.81981519856652,225.1330775565405,229.33119207499823,42263900,-0.019734587754066668,0.019314266616259696
2025-08-21,224.2655334472656,225.88097364743612,223.14869792378403,225.6316789169631,30621200,-0.004911237335397112,0.01936656116755496
2025-08-22,227.11746215820312,228.44371192910324,224.77410085849388,225.53195134940427,42477800,0.012716749948596728,0.019483802397836248
2025-08-25,226.51914978027344,228.6531118971015,225.59176554347297,225.84106025439087,30983100,-0.0026343741790885167,0.019522828955829363
2025-08-26,228.6630859375,228.84258604761436,224.05612439304167,226.22996704217397,54575100,0.009464701590599311,0.019184908748469065
2025-08-27,229.8397674560547,230.24859923631865,227.6160475796746,227.965066276898,31259500,0.005145918125483151,0.01886415641613241
2025-08-28,231.9039306640625,232.75153884501827,228.69301327644948,230.16884905542523,38074700,0.008980879291928812,0.018658349105201165
2025-08-29,231.485107421875,232.7216147258446,230.71727541448905,231.85405874294375,39418400,-0.0018060204541949787,0.017306928769606458
