Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Volatility,Rolling_Mean,Z_Score,Is_Anomaly
2025-06-17,590.7578735351562,594.9300168530282,589.9965810836336,593.4074922933922,82209400,,,,,False
2025-06-18,590.6688232421875,594.4059506456396,589.7097855095001,591.6574895866379,76605000,-0.0001507390708749,,,,False
2025-06-20,589.2816772460938,594.4181022000307,587.8735769623825,593.3471688844512,94051400,-0.002348432728309,,,,False
2025-06-23,595.1021728515625,595.4888465716903,586.9116378864132,590.0351069773628,87426000,0.0098772723303901,,,,False
2025-06-24,601.6764526367188,602.737399696003,598.3347417480489,599.2470472798032,67735300,0.0110473126885994,,,,False
2025-06-25,602.0135498046875,603.4910078317407,600.4468221319722,602.7968833801484,62114800,0.0005602631887811,,,,False
2025-06-26,606.7236938476562,607.1599955272326,603.2531315625092,603.8679120398481,78548400,0.0078239834377429,,,,False
2025-06-27,609.7380981445312,611.2056913389495,605.692457719191,607.7252035075089,86258400,0.0049683312642012,,,,False
2025-06-30,612.6533203125,614.0117925800773,609.8669572755672,612.1873024714439,92502500,0.0047811054891271,,,,False
2025-07-01,612.455078125,613.625146088841,610.3429883405835,611.1758893553448,70030100,-0.0003235797161743,,,,False
2025-07-02,615.2315063476562,615.2711481262035,611.4237773441516,612.0484833566157,66510400,0.0045332765158159,,,,False
2025-07-03,620.0804443359375,621.0125406459644,617.1948857443227,617.2147368961759,51065800,0.0078814851616868,,,,False
2025-07-07,615.4595336914062,618.7813935886118,612.6731706581298,618.1169852960921,74814500,-0.0074521147808167,,,,False
2025-07-08,615.1224365234375,616.8775081543645,614.3093261623386,616.1238907210633,59024600,-0.0005477162177452,,,,False
2025-07-09,618.8110961914062,619.4655183729625,615.6875662931247,617.5319680301938,66113300,0.0059966267672113,,,,False
2025-07-10,620.5562744140625,621.5974308254256,617.7699115690501,618.9499049744066,57529000,0.002820211585405,,,,False
2025-07-11,618.3748168945312,619.6043777491163,616.3024294765994,617.5022136064131,63670200,-0.0035153258608029,,,,False
2025-07-14,619.5548095703125,619.9018415613931,616.5701165685465,617.9186632768227,51898500,0.0019082159291465,,,,False
2025-07-15,616.9072875976562,622.5791484786782,616.8279435196437,622.2420420602726,74317300,-0.0042732651441966,,,,False
2025-07-16,618.9697265625,619.4754466932056,612.8516386863737,618.4937831556223,88987500,0.0033431911185151,,,,False
2025-07-17,622.7576293945312,623.1146474859103,618.9301097920578,619.1482908768893,68885700,0.0061196899775175,0.0049145687484289,0.0026524895967610152,0.7054943288492784,False
2025-07-18,622.301513671875,624.175571102461,621.1909387049365,624.007017899032,65621600,-0.0007324129021104,0.0049337147871567,0.00262340590519924,-0.6801809492606683,False
2025-07-21,623.4815063476562,626.2281670376054,623.0551302914085,623.4815063476562,63375000,0.0018961751656665,0.0047980157124497,0.002835636299898015,-0.19580201285999102,False
2025-07-22,623.5707397460938,624.4334174667899,620.9232136557434,623.8087114591411,60046300,0.0001431211632245,0.0045324877309289,0.002348928741539735,-0.4866659788758372,False
2025-07-23,628.875732421875,628.875732421875,624.4333721871909,626.238071576001,70511000,0.0085074432420311,0.0043058609158815,0.0022219352692113203,1.4597563868439547,False
2025-07-24,629.083984375,630.7994747941685,628.6576082944551,629.2624631630094,71307100,0.000331149609356,0.0043108163713863,0.002210479590240065,-0.43595686268577905,False
2025-07-25,631.7413940429688,632.2173979677802,629.5004535059064,629.748350781943,56865400,0.0042242526180489,0.0041356955198887,0.002030493049255365,0.5304451351033147,False
2025-07-28,631.5828247070312,632.6735486135409,630.1945756243812,632.1182610848412,54917100,-0.000251003555304,0.0041051176777339,0.001769526308280105,-0.4921977936329158,False
