Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Volatility,Rolling_Mean,Z_Score,Is_Anomaly
2025-06-17,264.3783264160156,265.42792109233284,262.6911378485661,263.0541044634296,6739300,,,,,False
2025-06-18,268.7336730957031,272.4219533800811,264.5745689012487,264.849226160592,9586400,0.0164739172788093,,,,False
2025-06-20,269.7538146972656,272.00992553694005,268.5865139770169,270.3129479704052,13969700,0.0037961063450324,,,,False
2025-06-23,272.9614562988281,273.2361135654262,266.9189664982738,269.81270157543656,8094600,0.0118909962595423,,,,False
2025-06-24,275.8944091796875,277.31672955102783,274.1777939507156,274.864422081068,9267900,0.0107449341772578,,,,False
2025-06-25,278.6409912109375,278.85679547317505,275.55108967897763,276.1298306696613,6826900,0.0099551927834142,,,,False
2025-06-26,283.24151611328125,283.88892888521605,279.04316687272353,279.26878993935657,8942100,0.0165105818865718,,,,False
2025-06-27,281.6327819824219,283.1924758613516,279.6022941678673,280.3575940845552,17868600,-0.0056797257440748,,,,False
2025-06-30,284.3793640136719,287.0670832038085,283.40825991352006,284.8600066595423,12689200,0.0097523520234992,,,,False
2025-07-01,284.8698425292969,285.5761082631772,281.122709609671,285.3406963303482,9338300,0.0017247331476606,,,,False
2025-07-02,286.4295349121094,287.23389900971387,284.17342383730266,286.46878021661104,8158700,0.0054751052935766,,,,False
2025-07-03,291.75201416015625,292.1462676228288,287.03074848169234,287.95726066275904,6541600,0.0185821593072796,,,,False
2025-07-07,287.77984619140625,291.7914435365602,285.91695574871414,291.0127726573706,8825700,-0.013614877621957,,,,False
2025-07-08,278.72174072265625,285.54244302383853,276.28718720828704,285.1185912184717,15440900,-0.0314758159357877,,,,False
2025-07-09,279.0962829589844,283.0783120359289,278.42604907780265,283.05857981144027,11273800,0.0013437855093652,,,,False
2025-07-10,284.0541076660156,284.1723806999454,278.93858839126966,278.93858839126966,8410900,0.0177638507201467,,,,False
2025-07-11,282.7431640625,283.2557206237078,279.5792402426265,281.4223984494675,7384700,-0.0046151193316203,,,,False
2025-07-14,284.5567932128906,285.1481583723004,281.1661592607552,282.95018101073435,9079900,0.0064144049473455,,,,False
2025-07-15,282.4376220703125,287.7601490973643,281.3830008251136,283.8668247126896,12526100,-0.007447269554351,,,,False
2025-07-16,281.7181091308594,286.5576476938333,278.9484387838449,284.2610694558768,9979800,-0.0025475109660638,,,,False
2025-07-17,285.73956298828125,286.13381646736286,279.3722805662569,279.3722805662569,8509500,0.0142747438914332,0.012411758712837,0.0039661272208539895,0.830552455061619,False
2025-07-18,287.08990478515625,288.3022635940587,284.09355419862834,285.365019447414,12217000,0.0047257781972962,0.0120617155353235,0.0033787202667783347,0.11168045926575874,False
2025-07-21,286.794189453125,289.95811320350606,286.4097720406625,286.8237577094983,7898100,-0.0010300443418675,0.01210113752626,0.0031374127324333397,-0.34438556418826527,False
2025-07-22,287.2475891113281,289.41602825063205,285.02987956960806,287.3165917383993,6717500,0.0015809234457213,0.0119269610843005,0.002621909091742289,-0.08728004046154238,False
2025-07-23,292.5011291503906,292.72780910920665,288.3515263055785,288.6373728619252,7083500,0.0182892397994205,0.0123105250241191,0.0029991243728504243,1.2420360136235689,False
2025-07-24,292.29412841796875,295.2905090775473,291.9491754148663,293.1516681080147,7001200,-0.0007076920797643,0.0122240062470285,0.0024659801296914997,-0.2596261933543497,False
