Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Volatility,Rolling_Mean,Z_Score,Is_Anomaly
2025-06-17,316.3500061035156,327.260009765625,314.739990234375,326.0899963378906,88282700,,,,,False
2025-06-18,322.04998779296875,329.32000732421875,315.45001220703125,317.3099975585937,95137700,0.0180179597897272,,,,False
2025-06-20,322.1600036621094,332.3599853515625,317.7799987792969,327.95001220703125,108688000,0.0003416111576173,,,,False
2025-06-23,348.67999267578125,357.5400085449219,327.4800109863281,327.5400085449219,190716800,0.0823193093872907,,,,False
2025-06-24,340.4700012207031,356.260009765625,340.44000244140625,356.1700134277344,114736200,-0.0235459206938556,,,,False
2025-06-25,327.54998779296875,343.0,320.3999938964844,342.70001220703125,119845100,-0.037947582404945,,,,False
2025-06-26,325.7799987792969,331.04998779296875,323.6099853515625,324.6099853515625,80440900,-0.00540372181235,,,,False
2025-06-27,323.6300048828125,329.3399963378906,317.5,324.510009765625,89067000,-0.0065995269953356,,,,False
2025-06-30,317.6600036621094,325.5799865722656,316.6000061035156,319.8999938964844,76695100,-0.0184469954288227,,,,False
2025-07-01,300.7099914550781,305.8900146484375,293.2099914550781,298.4599914550781,145085700,-0.0533589750413172,,,,False
2025-07-02,315.6499938964844,316.8299865722656,303.82000732421875,312.6300048828125,119483700,0.0496824278073184,,,,False
2025-07-03,315.3500061035156,318.45001220703125,312.760009765625,317.989990234375,58042300,-0.0009503811144286,,,,False
2025-07-07,293.94000244140625,296.1499938964844,288.7699890136719,291.3699951171875,131177900,-0.0678928278031534,,,,False
2025-07-08,297.8099975585937,304.04998779296875,294.3500061035156,297.0,103246700,0.0131659355142004,,,,False
2025-07-09,295.8800048828125,300.1499938964844,293.54998779296875,297.54998779296875,75586800,-0.0064806174796112,,,,False
2025-07-10,309.8699951171875,310.4800109863281,300.0,300.04998779296875,104365300,0.0472826483827995,,,,False
2025-07-11,313.510009765625,314.0899963378906,305.6499938964844,307.8900146484375,79236400,0.0117469090450688,,,,False
2025-07-14,316.8999938964844,322.6000061035156,312.6700134277344,317.7300109863281,78043400,0.010813001260769,,,,False
2025-07-15,310.7799987792969,321.20001220703125,310.5,319.67999267578125,77556300,-0.0193120707953897,,,,False
2025-07-16,321.6700134277344,323.5,312.6199951171875,312.79998779296875,97284800,0.0350409121925865,,,,False
2025-07-17,319.4100036621094,324.3399963378906,317.0599975585937,323.1499938964844,73922900,-0.007025863995037,0.0353684796539779,0.0010723115486565907,-0.22896589344299925,False
2025-07-18,329.6499938964844,330.8999938964844,321.4200134277344,321.6600036621094,94255000,0.0320590780406724,0.0358585119902013,0.0017743674612038507,0.8445612742587911,False
2025-07-21,328.489990234375,338.0,326.8800048828125,334.3999938964844,75768800,-0.0035188948387289,0.0358770161147773,0.0015813421613865408,-0.14215889592932773,False
2025-07-22,332.1099853515625,335.4100036621094,321.54998779296875,329.739990234375,77370400,0.0110201078413521,0.0305840838891525,-0.0019836179159103897,0.42517950854413605,False
2025-07-23,332.5599975585937,336.20001220703125,328.6700134277344,330.8999938964844,92553800,0.0013550095657461,0.0301640673958964,-0.0007385714029303046,0.06940645441473921,False
2025-07-24,305.29998779296875,310.1499938964844,300.4100036621094,310.0,156966000,-0.0819702007630127,0.0343394171530482,-0.0029397023208336897,-2.3014513638931615,True
2025-07-25,316.0599975585937,323.6300048828125,308.010009765625,308.739990234375,148227000,0.0352440556693423,0.0353732219038326,-0.0009073134467490748,1.0219982000614556,False
2025-07-28,325.5899963378906,330.489990234375,315.69000244140625,318.45001220703125,112673800,0.0301524990600248,0.0360108220694341,0.0009302878560189453,0.8114841462841693,False
2025-07-29,321.20001220703125,326.25,318.25,325.54998779296875,87358900,-0.013483166498468,0.0358871355012803,0.0011784793025366805,-0.4085487904288604,False
2025-07-30,319.0400085449219,324.45001220703125,311.6199951171875,322.17999267578125,83931900,-0.0067247932130124,0.033599211957915,0.0035101883939519206,-0.30461969226493285,False
2025-07-31,308.2699890136719,321.3699951171875,306.1000061035156,319.6099853515625,85270900,-0.0337575828823786,0.0327334796853634,-0.0006618121405329296,-1.0110679053973068,False
2025-08-01,302.6300048828125,309.3099975585937,297.82000732421875,306.2099914550781,89121400,-0.0182955990912538,0.0329704472893748,-0.0015290730393741896,-0.5085319560491028,False
2025-08-04,309.260009765625,312.1199951171875,303.0,309.0799865722656,78683900,0.0219079561703732,0.0293758716300568,0.0029609661593021403,0.6449847769516014,False
2025-08-05,308.7200012207031,312.45001220703125,305.5,308.95001220703125,57961300,-0.0017461311772288,0.0292923483143696,0.0022153628247306803,-0.13523989130008185,False
2025-08-06,319.9100036621094,320.4700012207031,306.92999267578125,307.8900146484375,78523600,0.0362464446655872,0.0301697008092419,0.0043517159319906,1.057177495238079,False
2025-08-07,322.2699890136719,322.3999938964844,316.1600036621094,319.7900085449219,66658700,0.0073770289285954,0.0284516864044578,0.0023564349592803953,0.1764603299060818,False
2025-08-08,329.6499938964844,335.1499938964844,320.9800109863281,321.42999267578125,91200300,0.022900068682782,0.0287531334314503,0.002914092941166055,0.6950886166637825,False
2025-08-11,339.0299987792969,346.6400146484375,334.1499938964844,335.0,105320200,0.0284544366949328,0.0292740826227058,0.0037961647128742456,0.8423243283098786,False
2025-08-12,340.8399963378906,345.260009765625,332.94000244140625,345.0,80522100,0.0053387533997308,0.028764444636332,0.00502870592263027,0.010778844542992225,False
2025-08-13,339.3800048828125,348.9800109863281,338.20001220703125,341.5,67838900,-0.0042835097722239,0.0279370877408031,0.00306248482438975,-0.26294775836224926,False
2025-08-14,335.5799865722656,340.4700012207031,330.3999938964844,335.760009765625,75000700,-0.0111969422354715,0.0280317706416337,0.0028539309123680246,-0.501248149018839,False
2025-08-15,330.5599975585937,339.29998779296875,327.0199890136719,337.6600036621094,74319800,-0.0149591430196655,0.0274184460281148,0.0005030198593511297,-0.5639328670618958,False
2025-08-18,335.1600036621094,336.2699890136719,329.5899963378906,329.6199951171875,56956600,0.0139157978505861,0.0275606325451446,0.0013747544938168797,0.4550346707836571,False
2025-08-19,329.3099975585937,340.54998779296875,327.8500061035156,335.7900085449219,75956000,-0.0174543681811548,0.0277708139957589,-4.8969307308465226e-05,-0.6267514836441038,False
2025-08-20,323.8999938964844,331.3699951171875,314.6000061035156,329.2200012207031,77481800,-0.0164283006960538,0.0280071824656563,-0.0009381348203984603,-0.5530783360536211,False
2025-08-21,320.1099853515625,324.8999938964844,318.67999267578125,322.0799865722656,55744400,-0.0117011689297318,0.0207825882008523,0.0025753167712655846,-0.6869445500735033,False
2025-08-22,340.010009765625,340.25,319.69000244140625,321.6600036621094,94016300,0.0621662095051711,0.0236798730342802,0.003921424463057025,2.459674718601571,True
2025-08-25,346.6000061035156,349.5299987792969,335.0299987792969,338.8999938964844,86670000,0.0193817715614703,0.0231688811042361,0.0033828880881292987,0.690533280453316,False
2025-08-26,351.6700134277344,351.8999938964844,343.7200012207031,344.92999267578125,76651600,0.0146278339149956,0.0229434287954446,0.00478843810880248,0.4288546360667209,False
2025-08-27,349.6000061035156,355.3900146484375,349.1600036621094,351.94000244140625,65519000,-0.0058862207330171,0.0229220374986152,0.004830366732802244,-0.4675233371582596,False
2025-08-28,345.9800109863281,353.54998779296875,340.260009765625,350.9100036621094,67903200,-0.010354676927882,0.0213949663949601,0.006000512030527075,-0.7644409744089049,False
2025-08-29,333.8699951171875,348.75,331.70001220703125,347.2300109863281,81145700,-0.0350020679940933,0.0226809709270283,0.0051651885853851,-1.770967244246681,False
2025-09-02,329.3599853515625,333.3299865722656,325.6000061035156,328.2300109863281,58392000,-0.0135082811620792,0.022687540186221,0.00339437671876248,-0.7450194133918185,False
2025-09-03,334.0899963378906,343.3299865722656,328.510009765625,335.20001220703125,88733300,0.01436121932444,0.022781155176831,0.004199744243845919,0.44604740197409104,False
2025-09-04,338.5299987792969,338.8900146484375,331.4800109863281,336.1499938964844,60711000,0.013289839534482,0.021630787185643,0.0030519139872906597,0.47330341976581214,False
2025-09-05,350.8399963378906,355.8699951171875,344.67999267578125,348.0,108989800,0.036363092201525,0.0228713179523851,0.00450121715093714,1.3930930922704081,False
2025-09-08,346.3999938964844,358.44000244140625,344.8399963378906,354.6400146484375,75208300,-0.0126553485570388,0.0227474314769234,0.0027234462889460997,-0.6760673116692861,False
2025-09-09,346.9700012207031,350.7699890136719,343.82000732421875,348.44000244140625,53816000,0.0016455177086092,0.0219264431716588,0.0013830003396299196,0.011972638102955034,False
2025-09-10,347.7900085449219,356.3299865722656,346.07000732421875,350.54998779296875,72121700,0.0023633378140295,0.0219082773559934,0.0012342295603448544,0.051537975137774035,False
2025-09-11,368.80999755859375,368.989990234375,347.6000061035156,350.1700134277344,103756000,0.0604387374485395,0.0255309508348627,0.004470341921383024,2.192178265869018,True
2025-09-12,395.9400024414063,396.6900024414063,370.239990234375,370.9400024414063,168156400,0.0735609258490948,0.0295168192415424,0.008708235325611338,2.1971436011712546,True
2025-09-15,410.0400085449219,425.7000122070313,402.4299926757813,423.1300048828125,163823700,0.0356114714769244,0.0295486928286592,0.011236766050440833,0.8248996179906342,False
2025-09-16,421.6199951171875,423.25,411.4299926757813,414.5,104285700,0.0282411138692506,0.0297896923264369,0.01195303185137406,0.5467690582162094,False
2025-09-17,425.8599853515625,428.30999755859375,409.6700134277344,415.75,106133500,0.0100564258893758,0.0289846142100054,0.01332857155490059,-0.11289250365096305,False
2025-09-18,416.8500061035156,432.2200012207031,416.55999755859375,428.8699951171875,90454500,-0.0211571398064291,0.0292581289677037,0.013092129599381825,-1.1705898707199167,False
2025-09-19,426.0700073242188,429.4700012207031,421.7200012207031,421.8200073242188,93131000,0.0221182705666402,0.0287221718387321,0.014783101574200425,0.2553835076826689,False
2025-09-22,434.2099914550781,444.9800109863281,429.1300048828125,431.1099853515625,97108800,0.0191048043535839,0.0265122651999065,0.012630031316621063,0.24421802468186207,False
2025-09-23,425.8500061035156,440.9700012207031,423.7200012207031,439.8800048828125,83422700,-0.0192533233137897,0.027387504539313,0.010698276572858063,-1.0936228177946685,False
2025-09-24,442.7900085449219,444.2099914550781,429.0299987792969,429.8299865722656,93133600,0.0397792701622938,0.0281444261312641,0.011955848385222975,0.9885943897844593,False
