Date,Close,High,Low,Open,Volume
2025-06-17,264.3783264160156,265.42792109233284,262.6911378485661,263.0541044634296,6739300
2025-06-18,268.7336730957031,272.4219533800811,264.5745689012487,264.849226160592,9586400
2025-06-20,269.7538146972656,272.00992553694005,268.5865139770169,270.3129479704052,13969700
2025-06-23,272.9614562988281,273.2361135654262,266.9189664982738,269.81270157543656,8094600
2025-06-24,275.8944091796875,277.31672955102783,274.1777939507156,274.864422081068,9267900
2025-06-25,278.6409912109375,278.85679547317505,275.55108967897763,276.1298306696613,6826900
2025-06-26,283.24151611328125,283.88892888521605,279.04316687272353,279.26878993935657,8942100
2025-06-27,281.6327819824219,283.19247586135157,279.6022941678673,280.3575940845552,17868600
2025-06-30,284.3793640136719,287.0670832038085,283.40825991352006,284.8600066595423,12689200
2025-07-01,284.8698425292969,285.57610826317716,281.122709609671,285.3406963303482,9338300
2025-07-02,286.4295349121094,287.23389900971387,284.17342383730266,286.46878021661104,8158700
2025-07-03,291.75201416015625,292.1462676228288,287.03074848169234,287.95726066275904,6541600
2025-07-07,287.77984619140625,291.7914435365602,285.91695574871414,291.0127726573706,8825700
2025-07-08,278.72174072265625,285.54244302383853,276.28718720828704,285.1185912184717,15440900
2025-07-09,279.0962829589844,283.0783120359289,278.42604907780265,283.05857981144027,11273800
2025-07-10,284.0541076660156,284.1723806999454,278.93858839126966,278.93858839126966,8410900
2025-07-11,282.7431640625,283.2557206237078,279.5792402426265,281.4223984494675,7384700
2025-07-14,284.5567932128906,285.1481583723004,281.1661592607552,282.95018101073435,9079900
2025-07-15,282.4376220703125,287.7601490973643,281.3830008251136,283.8668247126896,12526100
2025-07-16,281.7181091308594,286.5576476938333,278.9484387838449,284.2610694558768,9979800
2025-07-17,285.73956298828125,286.13381646736286,279.3722805662569,279.3722805662569,8509500
2025-07-18,287.08990478515625,288.3022635940587,284.09355419862834,285.365019447414,12217000
2025-07-21,286.794189453125,289.95811320350606,286.4097720406625,286.8237577094983,7898100
2025-07-22,287.2475891113281,289.41602825063205,285.02987956960806,287.3165917383993,6717500
2025-07-23,292.5011291503906,292.72780910920665,288.3515263055785,288.6373728619252,7083500
2025-07-24,292.29412841796875,295.2905090775473,291.9491754148663,293.1516681080147,7001200
2025-07-25,294.33441162109375,294.6103920554469,291.71258245493334,292.4419829511327,5918500
2025-07-28,293.9992980957031,295.13278810430046,292.5602593912129,293.3882007039174,5840400
