Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Volatility
2025-06-17,264.3783264160156,265.42792109233284,262.6911378485661,263.0541044634296,6739300,,
2025-06-18,268.7336730957031,272.4219533800811,264.5745689012487,264.849226160592,9586400,0.016473917278809314,
2025-06-20,269.7538146972656,272.00992553694005,268.5865139770169,270.3129479704052,13969700,0.0037961063450324684,
2025-06-23,272.9614562988281,273.2361135654262,266.9189664982738,269.81270157543656,8094600,0.011890996259542375,
2025-06-24,275.8944091796875,277.31672955102783,274.1777939507156,274.864422081068,9267900,0.010744934177257859,
2025-06-25,278.6409912109375,278.85679547317505,275.55108967897763,276.1298306696613,6826900,0.00995519278341428,
2025-06-26,283.24151611328125,283.88892888521605,279.04316687272353,279.26878993935657,8942100,0.01651058188657184,
2025-06-27,281.6327819824219,283.1924758613516,279.6022941678673,280.3575940845552,17868600,-0.005679725744074826,
2025-06-30,284.3793640136719,287.0670832038085,283.40825991352006,284.8600066595423,12689200,0.009752352023499222,
2025-07-01,284.8698425292969,285.5761082631772,281.122709609671,285.3406963303482,9338300,0.0017247331476606398,
2025-07-02,286.4295349121094,287.23389900971387,284.17342383730266,286.46878021661104,8158700,0.005475105293576643,
2025-07-03,291.75201416015625,292.1462676228288,287.03074848169234,287.95726066275904,6541600,0.01858215930727969,
2025-07-07,287.77984619140625,291.7914435365602,285.91695574871414,291.0127726573706,8825700,-0.013614877621957011,
2025-07-08,278.72174072265625,285.54244302383853,276.28718720828704,285.1185912184717,15440900,-0.03147581593578774,
2025-07-09,279.0962829589844,283.0783120359289,278.42604907780265,283.05857981144027,11273800,0.001343785509365203,
2025-07-10,284.0541076660156,284.1723806999454,278.93858839126966,278.93858839126966,8410900,0.017763850720146745,
2025-07-11,282.7431640625,283.2557206237078,279.5792402426265,281.4223984494675,7384700,-0.004615119331620399,
2025-07-14,284.5567932128906,285.1481583723004,281.1661592607552,282.95018101073435,9079900,0.0064144049473455755,
2025-07-15,282.4376220703125,287.7601490973643,281.3830008251136,283.8668247126896,12526100,-0.007447269554351044,
2025-07-16,281.7181091308594,286.5576476938333,278.9484387838449,284.2610694558768,9979800,-0.0025475109660638706,
2025-07-17,285.73956298828125,286.13381646736286,279.3722805662569,279.3722805662569,8509500,0.01427474389143324,0.012411758712837036
2025-07-18,287.08990478515625,288.3022635940587,284.09355419862834,285.365019447414,12217000,0.004725778197296249,0.012061715535323522
2025-07-21,286.794189453125,289.95811320350606,286.4097720406625,286.8237577094983,7898100,-0.0010300443418675975,0.012101137526260054
2025-07-22,287.2475891113281,289.41602825063205,285.02987956960806,287.3165917383993,6717500,0.0015809234457213606,0.011926961084300575
2025-07-23,292.5011291503906,292.72780910920665,288.3515263055785,288.6373728619252,7083500,0.018289239799420542,0.012310525024119123
2025-07-24,292.29412841796875,295.2905090775473,291.9491754148663,293.1516681080147,7001200,-0.0007076920797643993,0.012224006247028537
2025-07-25,294.3344116210937,294.6103920554469,291.71258245493334,292.4419829511327,5918500,0.006980240123768189,0.011827013192152028
2025-07-28,293.9992980957031,295.13278810430046,292.5602593912129,293.3882007039174,5840400,-0.0011385468778348784,0.011715090255174643
2025-07-29,292.7771301269531,296.9661375577531,291.94918873841937,295.69464217411235,7635700,-0.004157043831962359,0.011656901042205979
2025-07-30,295.3299255371094,296.29584201458954,293.1122159565272,293.1516503269176,8061700,0.008719244597586329,0.011767729792019307
2025-07-31,291.9885559082031,296.6605511146664,291.2591855090535,294.8469611494763,14749700,-0.011314023199069267,0.01209145823437584
2025-08-01,285.2171936035156,287.61231301174155,280.1608103552954,286.23241068269874,12007100,-0.023190505818372897,0.012501118060286101
2025-08-04,290.0369873046875,290.0961238185278,286.0943926240756,286.0943926240756,6649500,0.01689867865354544,0.012747450493194234
2025-08-05,287.1884460449219,291.54502636918687,283.11771225513746,290.4608068242693,7182300,-0.009821303435251894,0.010636216763720324
2025-08-06,287.16876220703125,289.08092314098127,285.99583781724914,288.1051104485434,6330200,-6.853979734111615e-05,0.010642352160224619
2025-08-07,282.8220520019531,289.2484709612734,282.29965937267906,288.7359444448802,8057100,-0.015136431176119403,0.01053511762990347
2025-08-08,284.61590576171875,287.0504590616496,280.6240107941869,284.8327496617793,6634100,0.006342694097110968,0.01057633429685971
2025-08-11,285.4044189453125,287.1391701841974,284.6356142061902,285.2467115527221,5510100,0.002770446653300951,0.010498066976042107
2025-08-12,288.6472473144531,290.5199739550687,286.1732592848133,287.31661546362176,8570900,0.01136222200456527,0.010618652915311694
2025-08-13,286.36053466796875,290.3228318770392,283.0389031406188,289.7314666813669,8420400,-0.007922170288335417,0.010783658092548958
2025-08-14,289.9384460449219,289.9778804180479,285.4833244293079,286.4098066006694,6322400,0.01249442902843323,0.010673997871334695
2025-08-15,286.3210754394531,291.2591849519308,285.660707668408,290.6086532135509,7340500,-0.01247633990874153,0.01102688007731188
2025-08-18,287.3461608886719,287.7108460905947,284.2709417940018,285.8381195988006,5386900,0.003580195581640133,0.011054045545168863
2025-08-19,286.4886779785156,288.2825659770611,285.37489004447787,286.6562214265169,6031500,-0.0029841460470685366,0.011070156663678332
2025-08-20,288.04595947265625,289.1203129200321,283.1472843493455,286.63648908496583,7374200,0.005435752313595499,0.010293861285701901
2025-08-21,287.2870483398437,288.5683797096441,285.31575079885044,287.7503044651617,6624000,-0.0026346876526299745,0.010302787504151195
2025-08-22,291.9885559082031,292.8953659306035,285.96625689985,288.9922055724686,8552800,0.016365191523697975,0.01087428843079456
2025-08-25,290.6678161621094,293.08266767966575,289.9187435512912,291.9885819039242,5856300,-0.004523258598220448,0.010913575911692643
2025-08-26,294.2851257324219,294.4526691589569,289.2878798394283,289.9384115603751,6714700,0.012444823159558416,0.011248066497594945
2025-08-27,294.9849548339844,296.74927450763425,292.77711127340297,292.9840890873044,6056500,0.0023780648098361556,0.011086981899341873
2025-08-28,296.749267578125,296.91681101607145,294.41328492266325,295.71431837356056,6410500,0.005981026202280582,0.010829564586256925
2025-08-29,297.09423828125,298.60227955806266,295.4284896061262,297.70533564994906,6796400,0.001162498920184163,0.009234053149963898
2025-09-02,295.3989562988281,296.1480289299188,290.2735705259471,295.95091721841663,7221900,-0.0057062095590592055,0.008692649289514047
2025-09-03,295.2116394042969,296.2564245761911,292.1265542897072,296.2564245761911,6316900,-0.0006341149504325294,0.008328481387145318
2025-09-04,299.4598083496094,300.0610396446901,293.99930589051,295.694622931837,6605800,0.01439024881906703,0.008807027473917498
2025-09-05,290.1552734375,300.7706992658433,290.08627080836624,299.2922261938372,9837700,-0.03107106413841898,0.01091917699721876
2025-09-08,288.70635986328125,292.20540066234315,287.2574550934962,290.6579550877705,8188500,-0.004993580013395338,0.010939911239977722
2025-09-09,293.5754699707031,294.7089599546063,288.11496777534006,288.4008143193263,7848200,0.01686526791348708,0.011514400415490293
2025-09-10,296.22686767578125,297.2125163723058,291.1606189374317,292.44198029068025,7787300,0.009031400700278969,0.01142048163728025
2025-09-11,301.1748352050781,301.3424087307021,296.4733014094209,296.91682530734334,7942500,0.016703304356282755,0.011691425726846325
2025-09-12,302.5054626464844,303.13626220753474,299.3415385689925,300.622869917122,6846700,0.004418122916877154,0.011468697368184257
2025-09-15,304.46685791015625,305.50180702662493,302.76170501933825,302.76170501933825,7122000,0.006483834197612559,0.010965444361662335
2025-09-16,304.7527160644531,306.4381668754987,302.7222822014224,305.5510890844016,10525600,0.0009388810206107934,0.010975696614500008
2025-09-17,307.2759704589844,308.41932651675705,304.3387266167954,305.9355027165261,8657800,0.008279678117774747,0.010941268740283717
2025-09-18,308.7347412109375,308.94171900765593,305.16666778780973,307.3154047313621,8050700,0.004747428670631493,0.010936158399030131
2025-09-19,310.26251220703125,311.2678631029987,304.68373667454165,309.0994539015685,23568600,0.004948490701439878,0.010842180778557964
2025-09-22,307.95611572265625,309.1980428451836,305.11744234523064,305.3539884334779,7520200,-0.007433693706560329,0.010708474072837407
2025-09-23,308.25177001953125,311.77054315707727,306.12276518201463,307.34499004479613,8584400,0.0009600533380582643,0.01058270707185762
2025-09-24,308.92205810546875,312.036681822986,307.1971727167786,309.54299157852137,7310500,0.0021744825208791507,0.010346559302234264
2025-09-25,308.9515991210937,311.12000822788536,307.3252546914858,309.61196690994507,7083200,9.562611296232149e-05,0.010360335230457141
2025-09-26,311.52410888671875,313.2489940185383,309.1979925185918,310.3807528469309,7258100,0.008326578573936372,0.010416521016605862
2025-09-29,311.1594543457031,313.4461666504931,309.158588598915,312.50978831201064,6462400,-0.0011705499850999113,0.010445127784296668
2025-09-30,310.9031677246094,312.8547630138109,305.65950932869447,311.7114068920212,11823300,-0.0008236504387522103,0.010302574630768778
2025-10-01,306.2509155273437,310.0752375005356,302.99828667529783,309.46414008660315,9235200,-0.01496366933574167,0.011013898529756495
2025-10-02,303.13623046875,306.1030425326149,301.7464923414213,305.5510816946321,7600000,-0.010170369787239397,0.010916215898504448
2025-10-03,305.5806884765625,307.1873007923745,303.78680048715194,304.0825131673876,6029900,0.008063892607071521,0.008061989978535428
2025-10-06,306.22442626953125,308.7698659390142,302.2131538143922,307.21486689804453,7214500,0.0021066049565436895,0.007862758393901128
2025-10-07,304.74871826171875,307.0465480670538,301.78731007714714,306.39285354178503,8454200,-0.004819040811961939,0.007323756150369428
2025-10-08,301.1236572265625,305.8282501205831,300.64823485280857,305.2636917190969,6489900,-0.011895246207542787,0.007733902452605021
2025-10-09,302.6093444824219,305.09536030036105,300.4898171115272,302.13392206728275,7060300,0.004933811144375078,0.006862719597261138
2025-10-10,298.0137023925781,307.50211054267186,297.9344502139145,302.7380934229591,8597400,-0.015186715723217503,0.00759825991131574
2025-10-13,305.0260314941406,306.5017785031187,302.5301317467548,302.6786918104351,10788700,0.023530223762412872,0.009229793770510312
2025-10-14,299.1923217773437,304.0653034578676,291.39755808509767,302.91638858642943,16178800,-0.019125284777240403,0.010179085471164664
2025-10-15,302.767822265625,309.13634876005415,302.520212088773,303.4611428511513,11354800,0.011950508846755081,0.010383805114333596
2025-10-16,295.6861572265625,305.72920960204,294.2302082762473,302.43105556912377,10549400,-0.023389754519057115,0.01145910844162852
2025-10-17,294.7155456542969,296.68651306450823,291.3876792596173,296.30025689141456,10153500,-0.0032825735954961077,0.011340041608661111
2025-10-20,299.4696350097656,300.78693806489423,295.3098022126917,295.6465484229892,6894900,0.01613111159411096,0.01200575779720561
2025-10-21,294.25,301.1434582480101,294.16086397135297,298.7763208850087,7372700,-0.01742959685911194,0.012514737756599842
2025-10-22,291.29852294921875,295.21077611588424,287.76267234049385,294.92353982678844,8054100,-0.010030508243946468,0.012585153232425074
2025-10-23,291.72442626953125,293.53691953831486,289.7138327608809,291.5659521228084,5438800,0.001462085409841718,0.012605721066611161
2025-10-24,297.5679931640625,299.70734860853685,292.6257039619419,293.2496561856281,7228300,0.020031119674333464,0.013395864126294578
2025-10-27,301.2425231933594,301.6188954834183,298.13255521259686,299.2715559358776,5642200,0.012348539203512088,0.013786150919516094
2025-10-28,302.44097900390625,305.0260451309229,300.26202744552563,301.9457586189306,6336000,0.003978375289924285,0.013840770362456619
2025-10-29,302.5895690917969,305.3033671273222,300.1134671686232,300.6086875532579,7520300,0.0004913027605584208,0.013463332874984114
2025-10-30,306.4819641113281,309.62164411662417,302.1834552198523,302.8668617019339,7514600,0.012863612685704906,0.013578624251044743
2025-10-31,308.1459045410156,309.8791757592273,304.3129038831637,305.5905808443981,7721300,0.005429162640980367,0.013515407793487602
2025-11-03,306.3928527832031,309.3344630267029,303.28285431242927,308.0270739794024,7770000,-0.005689031500917374,0.013579045844895403
2025-11-04,306.2937927246094,309.23540287266394,302.1834697809128,303.7780648320401,7085200,-0.00032331060497625685,0.013530190547135222
2025-11-05,308.7005615234375,310.107000668758,302.70840715746203,306.6503419445097,6865200,0.007857713267444666,0.013309207627289446
2025-11-06,310.4239501953125,311.83035912038315,307.2941538281452,308.01715622418413,7206100,0.005582719588749896,0.013319248939502464
2025-11-07,311.20635986328125,311.4242580235003,304.6991875199946,308.90856044061366,7302300,0.0025204552273638825,0.012737267423742427
2025-11-10,313.8607788085937,316.5052386427636,311.2063746689554,311.9888313123107,5794100,0.008529449547491907,0.011827074974306776
2025-11-11,312.6029052734375,316.0001097981944,312.2661590448994,314.4649387231156,5030200,-0.004007743624198756,0.010885437331301668
2025-11-12,317.3471069335937,319.16951418656384,313.1872439213492,313.2367840916445,10578300,0.015176447755680167,0.011059236179246213
2025-11-13,306.5216064453125,317.565014483568,306.1452341336872,316.1784035137792,8973300,-0.03411249150144757,0.012537096006033822
2025-11-14,300.70770263671875,304.69920788981074,298.3504790333013,304.57044575573,10327000,-0.018967353968996736,0.01334154844199009
2025-11-17,297.4986572265625,302.66875869849656,294.8244855709175,301.0939616708072,8344000,-0.010671643532966124,0.013095270231338442
2025-11-18,296.5478515625,300.05402007948175,294.1806837974681,296.6369875977812,8077300,-0.0031959998506426723,0.012484918494095228
2025-11-19,300.3709411621094,301.5396841634701,296.409178349521,296.8746866890342,5546600,0.012891982118452994,0.012522936617030883
2025-11-20,295.5277099609375,306.95740445253,295.3098117912242,303.411609711364,7501600,-0.016124166946488994,0.013136253105734064
2025-11-21,295.1711120605469,298.7961284719156,290.01092472978763,298.4098723352964,11766800,-0.0012066479330745672,0.012327432867488448
2025-11-24,295.1513366699219,296.9539460474125,291.69470820468445,295.3890327721484,10940200,-6.699636182871949e-05,0.011962501530441207
2025-11-25,300.103515625,301.5891765934406,292.7346348034667,297.18170363006027,8877200,0.016778439870717365,0.012567293726282512
2025-11-26,304.6991882324219,305.5806647286523,300.30162915288383,302.0844103036798,7910900,0.015313624693302552,0.01304513708244653
2025-11-28,310.0871887207031,310.7210853336642,305.2934589321381,306.1452537275728,4322400,0.01768301556540841,0.013328358002622838
2025-12-01,305.96697998046875,311.038031953238,305.5906076467962,309.958455126882,7727300,-0.013287258842368588,0.013630255029835139
2025-12-02,304.9368896484375,307.5120415313108,304.1544330268201,305.7886541478843,7249000,-0.0033666715672946435,0.013591460433788699
2025-12-03,309.1462707519531,309.37405277594195,303.86720471987456,304.26340519365976,8535300,0.013804105854062554,0.013944497015167302
2025-12-04,313.07830810546875,315.44544563675794,310.0079359217761,310.2654601734084,9627800,0.012719019200689408,0.01411972865845448
2025-12-05,312.0284729003906,315.4355916137351,311.6718985008828,312.62274341566774,6518900,-0.003353267147222616,0.01410177992668275
2025-12-08,312.1968078613281,313.44477282870224,310.3546026483966,312.0482477999388,7417200,0.0005394858981067063,0.014092707547784147
2025-12-09,297.6373596191406,315.7524991840304,297.1520230977925,311.939326475107,18049200,-0.04663548081072799,0.017398487255249697
2025-12-10,307.1455383300781,308.2152311685389,295.60691069504315,297.6274181031412,18874100,0.03194551491487574,0.019017098025403925
2025-12-11,314.3460693359375,314.96013772429524,306.2838676543348,306.2838676543348,9721900,0.023443384673624168,0.019465066360924415
2025-12-12,315.47515869140625,317.20842990436694,313.5735294870918,316.6240735225281,8982900,0.0035918672622627934,0.017769246168440972
2025-12-15,316.9608459472656,319.7935222813264,315.3464528736662,316.534963668203,10864100,0.004709363684995083,0.017103692430989217
2025-12-16,312.5335388183594,316.46558945571707,311.3945381021762,316.0397072252412,8331300,-0.013967993793286504,0.017255305469999774
2025-12-17,311.9690246582031,316.3170436429019,311.6520763778745,315.3860269605939,8718700,-0.001806251457973418,0.017233475248816705
2025-12-18,310.0079345703125,314.66301788263524,309.2353920446346,312.979256626897,11444900,-0.006286169244011375,0.01716880275488703
2025-12-19,314.1776733398437,315.51477427620307,310.1961127673861,310.79038320864026,24494400,0.013450425955421563,0.01682098335108598
2025-12-22,320.00146484375,320.14014104266494,314.47481933577194,314.47481933577194,8354600,0.01853661796523265,0.01712533462168312
2025-12-23,322.8143310546875,324.6466524002949,320.00148308544306,320.51650136966475,6668300,0.008790166670989974,0.01712405294074844
2025-12-24,326.0233764648437,326.8355148620812,322.3884458193645,323.1213622604756,4289300,0.009940839366306076,0.016935970290185377
2025-12-26,324.7754211425781,327.6972031402456,323.4185221880518,325.9639318748006,4158300,-0.0038278093301084004,0.01682057831986387
2025-12-29,320.6551818847656,324.6367426827693,320.43728371815735,323.8741142125664,8635300,-0.012686425725559114,0.01682757213453965
2025-12-30,320.3283386230469,321.83379757815135,319.40720581728044,321.7050354533748,7904300,-0.00101929823743252,0.01646793290189767
2025-12-31,319.1398010253906,321.77437689354394,318.9615289550125,321.2395304565584,5048500,-0.0037103729341126934,0.016474474096682203
2026-01-02,322.36865234375,322.61626252061376,317.6739428368343,319.4171281542276,8054000,0.010117357057894738,0.01636049079851291
2026-01-05,330.8468322753906,334.026138578159,322.08142570711647,322.3884599175412,10752600,0.02629964132678797,0.017084776284703635
2026-01-06,332.90625,334.1598441675407,328.9664216534041,330.92639220894705,7660800,0.006224686240595911,0.017034325698255786
2026-01-07,325.3250732421875,330.45880399676645,322.947258062395,329.4539672046419,9815200,-0.02277270780531304,0.018008820916182108
2026-01-08,328.11083984375,329.7126277455971,323.99190461809644,324.7281574581884,11737100,0.008563024588912116,0.013885647602604712
2026-01-09,327.5138854980469,330.21007865256746,326.4990899011105,327.6631156796267,6738100,-0.0018193679489144632,0.012408158304533044
2026-01-12,322.8377990722656,324.3600076252465,319.59441851466954,320.2411028663189,12805100,-0.014277521145921401,0.012044853746886776
2026-01-13,309.3169860839844,325.1957141371429,308.9886797025588,322.64875130423195,19371200,-0.041881133582052144,0.01542687637708847
2026-01-14,306.30242919921875,310.17263725890126,304.5613395847709,306.6307659579143,25951500,-0.009745849792895389,0.015490153727434685
2026-01-15,307.68536376953125,311.3466191836246,306.18304245620016,306.8993776774091,14751400,0.0045149317748736095,0.015262736443614052
2026-01-16,310.8789978027344,315.5948534301565,308.42157308655703,308.76979706409315,14652500,0.010379544850873224,0.015456972901501878
2026-01-20,301.19854736328125,309.56573031914434,300.323023148028,304.65088058894946,12900600,-0.031138965667908414,0.016914137114289934
2026-01-21,300.50213623046875,303.8450138204667,299.61665319654776,301.88504309324475,10270100,-0.0023121331059161587,0.016553900823997682
2026-01-22,302.0840148925781,306.6307531542374,301.35772089620315,303.3077326815458,10535800,0.0052641178593690885,0.01593801455637053
2026-01-23,296.2041015625,300.8304191049288,295.000271015744,300.4623078902987,11107900,-0.019464496763157202,0.016112096890849036
2026-01-26,299.5072021484375,300.243424572115,295.9354850066467,296.2936374196168,11752700,0.011151434326916343,0.016170058628840744
2026-01-27,298.7809143066406,300.4324657566407,296.6319086980451,299.7957098597862,11527400,-0.002424942828042287,0.0161743759024939
2026-01-28,299.2385559082031,300.3827247331972,296.53240414079806,298.74110176244625,9556700,0.0015316962350975238,0.016086421503451333
2026-01-29,304.8598327636719,305.2677184721844,300.6812055104527,300.86028172816947,11580000,0.018785269292614704,0.01682833324306908
2026-01-30,304.33251953125,306.3621106362864,301.0194578342246,303.6957636347891,11953200,-0.0017296907488322244,0.016825646019734363
2026-02-02,306.5710754394531,307.72514241386267,299.83552643648,302.9097896135357,9839400,0.0073556250631745534,0.016729981323159445
2026-02-03,313.24688720703125,314.6397527673971,307.5261644294422,308.15296152215484,12688000,0.021775739143063966,0.01634811194364159
2026-02-04,315.654541015625,317.68416242077944,312.809117891095,312.809117891095,9848800,0.007686122055548195,0.01639284179355084
2026-02-05,308.5807800292969,314.4009999973286,303.9843082722668,313.3961328396234,9388000,-0.022409818542664217,0.01636943860410797
2026-02-06,320.7584533691406,322.59903993155126,313.10760555212,313.10760555212,17797400,0.03946348615324524,0.01875411610415088
2026-02-09,320.4599914550781,324.73808529326595,318.4801031561584,319.70385137937853,11477500,-0.000930488069534996,0.01875303754697104
2026-02-10,316.659423828125,324.4694603347238,313.51550984428656,320.9076714905845,9902200,-0.011859725795086873,0.018670009134183874
2026-02-11,309.2374267578125,323.6237932822943,307.15807190859783,321.5941717066872,8703500,-0.023438421571628232,0.016906286155525665
2026-02-12,301.0990600585937,312.0231336727285,298.492374829366,310.68996020493864,13443400,-0.026317534667602116,0.017797979599983683
2026-02-13,301.0094909667969,302.740652037527,295.0101951931391,297.0000117729552,9114500,-0.00029747383395817284,0.01775616293797375
2026-02-17,305.5661926269531,306.6705262718474,300.95976231603305,301.21844819128046,8896800,0.015138066396248151,0.017946774000675916
2026-02-18,307.2077941894531,310.6899733588093,305.6557396172298,306.8894162356143,7209600,0.005372327181836223,0.016485982135039778
2026-02-19,306.48150634765625,307.6057576457843,303.5664321569553,305.6060125002564,6737700,-0.0023641582522772042,0.016486555769038985
2026-02-20,309.20758056640625,309.4165028225248,304.12358301143166,306.829734990155,7792700,0.008894742952802126,0.016554501252270957
2026-02-23,296.1543884277344,309.4165036660153,293.5974666249826,307.22769310292153,12955400,-0.042214981000016416,0.018698862386336158
2026-02-24,295.7862243652344,298.22376183621185,289.89638425356503,295.3086878147805,13554100,-0.0012431491035961306,0.01851988545363303
2026-02-25,301.75567626953125,302.113859047087,295.4977249020647,297.1194302945208,8095500,0.02018164272899292,0.019075283338246415
2026-02-26,304.5712890625,307.4366298839601,302.0939770599508,303.02916294815697,7007800,0.009330769938703076,0.019173314178757887
2026-02-27,298.7709655761719,301.4074969953331,292.9507760142178,298.4725052158334,18620800,-0.019044222796515298,0.0191984960089409
2026-03-02,296.044921875,298.45261340621465,291.7170645432447,293.3089239524434,8508900,-0.009124192158079247,0.019287676950965126
